grid_id,area_km2
180,232.2024945
181,509.028768
182,0.0
183,0.0
184,6559.0739815
185,124747.6891675
186,149961.236025
187,21083.311245
188,3638.3501165
189,9562.297039
190,9277.3308065
191,29659.1786625
192,38585.478905
193,3231.198521
194,0.0
195,0.0
196,10513.24177
197,105297.927251
198,73123.575949
199,38669.4506715
200,0.0
201,33122.5114495
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,10341.2643695
210,24054.364262
211,37860.118853
212,84363.740625
213,16852.057852
214,81219.2573445
215,11800.2689205
216,19743.1362845
217,0.0
218,0.0
219,0.0
220,0.0
221,135.443363
222,73632.4298555
223,12541.9378365
224,53382.8990215
225,1920.8155765
226,15309.7514595
227,1682.9744815
228,170822.070217
229,0.0
230,13893.860008
231,93139.422173
232,176669.382235
233,2204.4517485
234,40.9481905
235,49471.4452285
236,6284.2956575
237,16.2021525
238,4092.9579115
239,0.0
240,7681.156238
241,43608.642819
242,431453.553458
243,45.8514105
244,11219.389149
245,297388.7988085
246,11204.532895
247,0.0
248,67321.0786325
249,33679.052137
250,2393.691556
251,73855.660688
252,0.0
253,44891.3674035
254,147306.3896325
255,129149.9014965
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,2662.869597
262,21181.917199
263,0.0
264,0.0
265,0.0
266,40967.8098825
267,190594.4059035
268,350101.5040125
269,180442.3164
270,0.0
271,320.6685855
272,748.1338265
273,65.84471
274,0.0
275,0.0
276,0.0
277,0.0
278,12653.201088
279,0.0
280,73876.8774015
281,68650.525393
282,0.0
283,2004.3762935
284,967.167744
285,8035.4241595
286,0.0
287,0.0
288,0.0
289,7776.656276
290,224479.623522
291,226481.8047985
292,8933.890507
293,15362.4409255
294,2144.6037235
295,10531.114041
296,0.0
297,0.0
298,0.0
299,3436.7430115
300,0.0
301,0.0
302,8168.7992585
303,16483.4529605
304,52650.2976645
305,26132.3591275
306,2855.9651325
307,4023.6246575
308,0.0
309,0.0
310,0.0
311,1713.3702055
312,1339.149418
313,51301.2692895
314,57021.616881
315,45154.555196
316,29703.2086875
317,12293.2456955
318,33053.1275305
319,5146.2150175
320,4178.188773
321,435.624916
322,634.932077
323,0.0
324,0.0
325,48731.690162
326,0.0
327,51379.8489155
328,99183.1374865
329,81425.6512
330,101558.397844
331,26319.458081
332,7597.898027
333,25658.762913
334,3153.492716
335,0.0
336,0.0
337,20812.981768
338,29126.9421675
339,0.0
340,23486.260999
341,67109.40027
342,101686.2231175
343,445647.533805
344,0.0
345,31170.37312
346,59441.2964905
347,11907.101344
348,5229.933915
349,6257.8335675
350,116056.039054
351,4973.791979
352,77824.559375
353,237016.1453575
354,50050.6036115
355,60.0359495
356,13936.9545375
357,118085.6508785
358,187456.9390005
359,97392.398955
360,17478.6096445
361,1083.439934
362,38092.530853
363,34062.4936745
364,37637.8311715
365,23925.4208705
366,349277.7381995
367,385321.7455055
368,2678.3446295
369,0.0
370,0.0
371,0.0
372,4.266699
373,0.4476905
374,11029.9338155
375,29274.365284
376,150826.7613425
377,92640.9353225
378,46069.788067
379,575501.6872725
380,224352.1620625
381,0.0
382,0.0
383,6509.970386
384,231558.1634105
385,177166.351037
386,11695.899744
387,2409.3282675
388,63595.1141895
389,14295.4765275
390,150402.6528135
391,102882.315298
392,10680.4201455
393,194.1527035
394,0.0
395,0.0
396,0.0
397,49534.0972565
398,52174.7456445
399,0.0
400,3101.5845465
401,6889.0578845
